anio,total_casos,casos_graves,crecimiento_pct,pct_graves
2026,593,5,,0.84
2027,611,1,3.04,0.16
2028,629,2,2.95,0.32
2029,648,5,3.02,0.77
2030,667,2,2.93,0.3
